"year","doy","interval_number","mgmt_river","cumulative_production","cumulative_percent_of_unit","overall_percent","fish_count_cumulative"
2017,191,12,"Kwethluk",17911.1523411788,81.6897263677484,4.49443507897779,224
2017,194,13,"Kwethluk",20357.4378463255,92.8468194305654,4.85540320226964,240
2017,197,14,"Kwethluk",21029.7394159329,95.9130728023025,4.83918102240852,249
2017,200,15,"Kwethluk",21925.8322160939,100,4.90517398013708,256
2017,158,1,"Johnson",0,NA,0,1
2017,161,2,"Johnson",0,NA,0,4
2017,164,3,"Johnson",0,NA,0,12
2017,167,4,"Johnson",0,NA,0,26
2017,170,5,"Johnson",0,NA,0,48
2017,173,6,"Johnson",0,NA,0,73
2017,176,7,"Johnson",0,NA,0,113
2017,179,8,"Johnson",0,NA,0,151
2017,182,9,"Johnson",0,NA,0,181
2017,185,10,"Johnson",0,NA,0,198
2017,188,11,"Johnson",0,NA,0,213
2017,191,12,"Johnson",0,NA,0,224
2017,194,13,"Johnson",0,NA,0,240
2017,197,14,"Johnson",0,NA,0,249
2017,200,15,"Johnson",0,NA,0,256
2017,158,1,"Lower Kusko",15.4380159681162,1.3892468313359,0.426599535205658,1
2017,161,2,"Lower Kusko",16.3780544964666,1.47383966694,0.180936633581762,4
2017,164,3,"Lower Kusko",69.7729603158703,6.27877728795846,0.30667785344716,12
2017,167,4,"Lower Kusko",122.91089612974,11.0605905148401,0.25314177818608,26
2017,170,5,"Lower Kusko",207.593857684374,18.681099280402,0.236992820170486,48
2017,173,6,"Lower Kusko",316.457368298382,28.4775839764253,0.229760114536871,73
2017,176,7,"Lower Kusko",480.44887260433,43.2349646005655,0.230696010379918,113
2017,179,8,"Lower Kusko",651.30070484843,58.6096971480154,0.234288870857751,151
2017,182,9,"Lower Kusko",769.539664782915,69.249866245436,0.235961553978375,181
2017,185,10,"Lower Kusko",843.375134669196,75.8942234472656,0.236933789650542,198
2017,188,11,"Lower Kusko",923.503668195557,83.104885201405,0.242656535028976,213
2017,191,12,"Lower Kusko",970.926195787394,87.3723763302497,0.24363394773952,224
2017,194,13,"Lower Kusko",1021.02324821125,91.8805444447827,0.243521782376533,240
2017,197,14,"Lower Kusko",1076.90958889598,96.909683025256,0.247809083239846,249
2017,200,15,"Lower Kusko",1111.25075975671,100,0.248605309866649,256
2017,158,1,"E. Fork Kuskokwim",0,0,0,1
2017,161,2,"E. Fork Kuskokwim",58.7817401290218,4.02686614237294,0.649391548753102,4
2017,164,3,"E. Fork Kuskokwim",145.54160017771,9.97038435364453,0.639708926319017,12
2017,167,4,"E. Fork Kuskokwim",336.917851255774,23.0806894284689,0.693900920545672,26
2017,170,5,"E. Fork Kuskokwim",340.857999721787,23.3506108431614,0.389129522100585,48
2017,173,6,"E. Fork Kuskokwim",464.169826573552,31.798135863918,0.337004990882508,73
2017,176,7,"E. Fork Kuskokwim",571.829473623699,39.1734021737361,0.27457401964033,113
2017,179,8,"E. Fork Kuskokwim",788.990114639193,54.0500769853677,0.283819135616876,151
2017,182,9,"E. Fork Kuskokwim",1021.95322590809,70.0093062142316,0.313358339165676,181
2017,185,10,"E. Fork Kuskokwim",1156.79346364875,79.2465895405774,0.324984040812137,198
2017,188,11,"E. Fork Kuskokwim",1159.66717598185,79.4434543300795,0.304710017297955,213
2017,191,12,"E. Fork Kuskokwim",1226.23224155155,84.0035202318223,0.307697745874912,224
2017,194,13,"E. Fork Kuskokwim",1297.07809109488,88.8568429171921,0.309362954446285,240
2017,197,14,"E. Fork Kuskokwim",1375.03986316666,94.197644663894,0.316412233137324,249
2017,200,15,"E. Fork Kuskokwim",1459.7391135128,100,0.326567960879295,256
2018,152,1,"N. Fork Kusko",0,0,0,2
2018,155,2,"N. Fork Kusko",26.0195702381305,1.32290035091057,0.764594623356766,5
2018,158,3,"N. Fork Kusko",79.6808289175752,4.0511736193641,0.717907212176568,10
2018,161,4,"N. Fork Kusko",233.663456035452,11.8800374162708,1.09989048395691,16
2018,164,5,"N. Fork Kusko",643.105315445064,32.6970906778458,1.13979844455308,37
2018,167,6,"N. Fork Kusko",1078.92216023814,54.8551144896533,1.05972108814848,65
2018,170,7,"N. Fork Kusko",1230.38070030054,62.5556473563849,0.960379404479665,77
2018,173,8,"N. Fork Kusko",1299.62867751438,66.0763885722329,0.869619978222109,92
2018,176,9,"N. Fork Kusko",1527.74363824184,77.6743265409421,0.639905082757393,138
2018,179,10,"N. Fork Kusko",1679.2748824136,85.3785558673346,0.579554583920954,168
2018,182,11,"N. Fork Kusko",1839.94544957517,93.5474513461522,0.543454593220644,196
2018,185,12,"N. Fork Kusko",1879.74967788001,95.5711983608142,0.508634014030039,208
2018,188,13,"N. Fork Kusko",1959.77299488482,99.6397849353743,0.497926293453963,227
2018,191,14,"N. Fork Kusko",1966.85791338863,100,0.484719451340319,233
2018,194,15,"N. Fork Kusko",1966.85791338863,100,0.479952704250525,236
2018,197,16,"N. Fork Kusko",1966.85791338863,100,0.471581704083379,239
2018,198,17,"N. Fork Kusko",1966.85791338863,100,0.468661880913541,240
2018,152,1,"S. Fork Kusko",0,0,0,2
2018,155,2,"S. Fork Kusko",39.7279723129568,0.68465834221549,1.16742105074583,5
2018,158,3,"S. Fork Kusko",293.708685821647,5.06167544481892,2.64625238836784,10
2018,161,4,"S. Fork Kusko",576.98488369645,9.94356094600308,2.7159582149997,16
2018,164,5,"S. Fork Kusko",1321.1194997349,22.7677234426097,2.34146712008511,37
2018,167,6,"S. Fork Kusko",2331.82433916863,40.1858663668129,2.29032595412581,65
2018,170,7,"S. Fork Kusko",2737.59878274958,47.1788449076518,2.13684552109692,77
2018,173,8,"S. Fork Kusko",3125.55093492316,53.864680149222,2.091398553284,92
2018,176,9,"S. Fork Kusko",4070.98649550346,70.1579945544823,1.70515843437405,138
2018,179,10,"S. Fork Kusko",4572.92142496904,78.8081701537005,1.57821545567452,168
2018,182,11,"S. Fork Kusko",5090.3763042308,87.7258112811116,1.5035165224026,196
2018,185,12,"S. Fork Kusko",5558.5745327835,95.7945800686033,1.5040726486962,208
2018,188,13,"S. Fork Kusko",5653.36220305947,97.4281184904082,1.43636926045487,227
2018,191,14,"S. Fork Kusko",5733.6011551895,98.8109292594475,1.41300903701758,233
2018,194,15,"S. Fork Kusko",5733.6011551895,98.8109292594475,1.39911345949035,236
2018,197,16,"S. Fork Kusko",5802.59815200685,100,1.39125409416078,239
