threshold,cluster,doy,cum_pct
0.5,Group 6,182,72.00575167891101
0.5,Group 6,185,79.26087657167444
0.5,Group 6,188,85.05565480901275
0.5,Group 6,191,90.39152364566489
0.5,Group 6,194,94.3921237954877
0.5,Group 6,197,97.26165566478521
0.5,Group 6,200,99.51311389455826
0.5,Group 6,203,100.0
0.6,Group 1,149,
0.6,Group 1,152,0.9308674145681025
0.6,Group 1,155,1.7739210082030403
0.6,Group 1,158,5.512789343703706
0.6,Group 1,161,19.160144285839632
0.6,Group 1,164,33.16662858273533
0.6,Group 1,167,47.18348011410077
0.6,Group 1,170,55.24623197363848
0.6,Group 1,173,65.83885171848073
0.6,Group 1,176,73.43592683664238
0.6,Group 1,179,82.29152313214833
0.6,Group 1,182,89.25908461389675
0.6,Group 1,185,92.38734972713952
0.6,Group 1,188,94.5372150186361
0.6,Group 1,191,96.43358843080857
0.6,Group 1,194,98.14278309406473
0.6,Group 1,197,99.05409385865063
0.6,Group 1,200,99.90506522036615
0.6,Group 1,203,100.0
0.6,Group 2,149,
0.6,Group 2,152,0.6803862228859577
0.6,Group 2,155,1.6451322721886954
0.6,Group 2,158,5.687678318024836
0.6,Group 2,161,13.63923480086928
0.6,Group 2,164,22.369207532819953
0.6,Group 2,167,32.506241578345346
0.6,Group 2,170,41.36080177308863
0.6,Group 2,173,53.31565532455966
0.6,Group 2,176,66.47033555671315
0.6,Group 2,179,77.12082001232686
0.6,Group 2,182,84.9788142893226
0.6,Group 2,185,89.49419184180199
0.6,Group 2,188,92.34895667632634
0.6,Group 2,191,95.59773423681304
0.6,Group 2,194,97.83888917802301
0.6,Group 2,197,99.08613102075928
0.6,Group 2,200,99.7380979327179
0.6,Group 2,203,100.0
0.6,Group 3,149,
0.6,Group 3,152,0.40766179074004455
0.6,Group 3,155,1.0113413117934944
0.6,Group 3,158,3.1188116026913644
0.6,Group 3,161,7.538088383395333
0.6,Group 3,164,13.753557292544087
0.6,Group 3,167,20.600199544897006
0.6,Group 3,170,28.98913964038535
0.6,Group 3,173,40.49571337697574
0.6,Group 3,176,53.84408652515025
