"year","quartile","mgmt_river","total_run_prop","within_quartile_prop","cpue_prop_in_quartile","edge_count"
"2019","Q3","Lower Kusko",0.0654885006322356,0.165147220126708,0.328931939991968,1105
"2019","Q3","Holitna and Hoholitna",0.0444139385223883,0.112001930278435,0.328931939991968,477
"2019","Q3","Stony",0.0365046602812688,0.0920565154022458,0.328931939991968,299
"2019","Q3","Middle Kusko Main",0.0313438083891626,0.0790420115544137,0.328931939991968,249
"2019","Q3","Johnson",0.024351099985115,0.0614079789695129,0.328931939991968,200
"2019","Q3","Tuluksak",0.0232446551509374,0.0586177747836801,0.328931939991968,189
"2019","Q3","Kisaralik",0.0203743585169199,0.0513795343984099,0.328931939991968,237
"2019","Q3","Big River",0.019693536846742,0.0496626557838984,0.328931939991968,166
"2019","Q3","Kwethluk",0.0188081162386122,0.0474298248187083,0.328931939991968,166
"2019","Q3","Upper Kusko Main",0.0178687375097706,0.0450609236495464,0.328931939991968,159
"2019","Q3","Swift",0.0174966544139525,0.0441226140480552,0.328931939991968,277
"2019","Q3","S. Fork Kusko",0.0161747116399605,0.0407889726883702,0.328931939991968,137
"2019","Q3","Aniak",0.0147856501427617,0.0372860730551101,0.328931939991968,165
"2019","Q3","Takotna and Nixon Fork",0.0118243701947133,0.0298183932836107,0.328931939991968,127
"2019","Q3","N. Fork Kusko",0.00794293763701508,0.0200302962768879,0.328931939991968,177
"2019","Q3","George",0.00743746183087103,0.0187556003620313,0.328931939991968,65
"2019","Q3","Tatlawiksuk",0.00645969846919012,0.0162899018109201,0.328931939991968,62
"2019","Q3","E. Fork Kuskokwim",0.00630816219101284,0.0159077615138035,0.328931939991968,81
"2019","Q3","Oskakawlik",0.00345404242397309,0.00871031553649725,0.328931939991968,25
"2019","Q3","Holokuk",0.00257108717833108,0.00648370165915499,0.328931939991968,21
"2019","Q4","Lower Kusko",0.03721893599536,0.168984602866295,0.220460520605141,1105
"2019","Q4","Holitna and Hoholitna",0.0262594482925224,0.119225397570557,0.220460520605141,477
"2019","Q4","Stony",0.0209157471443422,0.0949634676627816,0.220460520605141,299
"2019","Q4","Middle Kusko Main",0.0178052599846714,0.0808409672919163,0.220460520605141,249
"2019","Q4","Johnson",0.0142136333519507,0.0645339562518914,0.220460520605141,200
"2019","Q4","Tuluksak",0.0139486443512143,0.0633308304812096,0.220460520605141,189
"2019","Q4","Kisaralik",0.0118562879883711,0.0538309348078376,0.220460520605141,237
"2019","Q4","Swift",0.0104161631963981,0.0472923568087298,0.220460520605141,277
"2019","Q4","Kwethluk",0.0100453661595869,0.0456088323249204,0.220460520605141,166
"2019","Q4","Big River",0.00963102826240082,0.0437276198953877,0.220460520605141,166
"2019","Q4","Upper Kusko Main",0.00885134411780156,0.0401876311232025,0.220460520605141,159
"2019","Q4","Aniak",0.00855065042714746,0.0388223958594669,0.220460520605141,165
"2019","Q4","S. Fork Kusko",0.0078502020753323,0.0356421602241819,0.220460520605141,137
"2019","Q4","Takotna and Nixon Fork",0.00581799208917974,0.0264153462848011,0.220460520605141,127
"2019","Q4","N. Fork Kusko",0.00379991928769846,0.0172527192028206,0.220460520605141,177
"2019","Q4","George",0.00359779869216076,0.0163350339532397,0.220460520605141,65
"2019","Q4","Tatlawiksuk",0.00325127063062482,0.014761697550824,0.220460520605141,62
"2019","Q4","E. Fork Kuskokwim",0.00295665544480653,0.0134240604356714,0.220460520605141,81
"2019","Q4","Oskakawlik",0.00190855628990417,0.00866539083056089,0.220460520605141,25
"2019","Q4","Holokuk",0.00135555314807652,0.00615459857370518,0.220460520605141,21
"2020","Q1","Lower Kusko",0.0164552238225753,0.117607893740528,0.159327416022649,1105
"2020","Q1","Big River",0.0126531836740529,0.0904341561720853,0.159327416022649,166
"2020","Q1","Middle Kusko Main",0.0122993784845664,0.0879054586849757,0.159327416022649,249
"2020","Q1","Upper Kusko Main",0.0117083275936073,0.0836811314361539,0.159327416022649,159
"2020","Q1","Holitna and Hoholitna",0.0108110326071212,0.0772680328017989,0.159327416022649,477
"2020","Q1","Stony",0.00943777921020386,0.0674531897267445,0.159327416022649,299
"2020","Q1","S. Fork Kusko",0.00831614705518018,0.0594367205054015,0.159327416022649,137
"2020","Q1","Kwethluk",0.00807004941878788,0.0576778246688761,0.159327416022649,166
"2020","Q1","Johnson",0.00758184384386779,0.0541885479505635,0.159327416022649,200
"2020","Q1","Takotna and Nixon Fork",0.00643089391690789,0.0459625403210068,0.159327416022649,127
"2020","Q1","Tatlawiksuk",0.00505863973316477,0.0361548387687956,0.159327416022649,62
"2020","Q1","Swift",0.00500093580789294,0.0357424203668975,0.159327416022649,277
"2020","Q1","Tuluksak",0.0046593232969704,0.033300865738519,0.159327416022649,189
"2020","Q1","N. Fork Kusko",0.00435168618119481,0.0311021382333276,0.159327416022649,177
"2020","Q1","George",0.00413379195329653,0.0295448162863494,0.159327416022649,65
"2020","Q1","Kisaralik",0.00411596347913297,0.029417393571375,0.159327416022649,237
