year,cluster,offset_label,foregone_proportion_pct,remaining_proportion_pct,closure_protection_pct,cluster_total_production,cluster_closure_production
2021,Cluster 6,Current (June 11),14.08509260000001,85.91490739999999,4.013728278536333,53829.34303536333,2160.5635635607064
2022,Cluster 1,Current (June 11),7.565138500000003,92.4348615,8.266802372131606,1992.0609236272762,164.67973968872644
2022,Cluster 2,Current (June 11),7.565138500000003,92.4348615,7.172161769597819,123157.85987756812,8833.080942393792
2022,Cluster 3,Current (June 11),7.565138500000003,92.4348615,4.4444508715548015,50794.986042324985,2257.5581998642524
2022,Cluster 4,Current (June 11),7.565138500000003,92.4348615,5.1839112531996365,125121.7600429754,6486.200999069248
2022,Cluster 5,Current (June 11),7.565138500000003,92.4348615,2.508447654081564,100531.03471222073,2521.7683818626238
2022,Cluster 6,Current (June 11),7.565138500000003,92.4348615,0.9783091828157499,56662.99055023749,554.339239810994
2017,Cluster 1,-3 days (June 8),2.2194786999999963,97.7805213,0,3146.7650585852016,0
2017,Cluster 2,-3 days (June 8),2.2194786999999963,97.7805213,0,111127.38190590193,0
2017,Cluster 3,-3 days (June 8),2.2194786999999963,97.7805213,0.695939573545433,51479.38541473646,358.26541531912676
2017,Cluster 4,-3 days (June 8),2.2194786999999963,97.7805213,0.16464371846695527,122699.8567106286,202.0176066420049
2017,Cluster 5,-3 days (June 8),2.2194786999999963,97.7805213,1.9426294153886092,95733.129581944,1859.7399355309385
2017,Cluster 6,-3 days (June 8),2.2194786999999963,97.7805213,1.9180975107125582,61696.20682453911,1183.3934073055561
2018,Cluster 1,-3 days (June 8),3.235956399999992,96.76404360000001,4.6671036217578985,3190.5286265710233,148.90527708391875
2018,Cluster 2,-3 days (June 8),3.235956399999992,96.76404360000001,5.922206952442422,99586.04311490823,5897.691569013403
2018,Cluster 3,-3 days (June 8),3.235956399999992,96.76404360000001,2.857260947023442,47254.3687764496,1350.1806248119335
2018,Cluster 4,-3 days (June 8),3.235956399999992,96.76404360000001,2.196656924819349,108783.17257052967,2389.5930933087225
2018,Cluster 5,-3 days (June 8),3.235956399999992,96.76404360000001,0.9530421775612623,96028.66338228421,915.193664581496
2018,Cluster 6,-3 days (June 8),3.235956399999992,96.76404360000001,0.6013445139187467,63797.06205051251,383.6401326820956
2019,Cluster 1,-3 days (June 8),9.61041379999999,90.38958620000001,5.954064290771774,2262.47339686705,134.70912061107217
2019,Cluster 2,-3 days (June 8),9.61041379999999,90.38958620000001,12.745197743252959,111907.6522904602,14262.8515742511
2019,Cluster 3,-3 days (June 8),9.61041379999999,90.38958620000001,7.529143423132425,53151.39148043581,4001.8444959526
2019,Cluster 4,-3 days (June 8),9.61041379999999,90.38958620000001,4.562909040859509,140135.68563663415,6394.263869384439
2019,Cluster 5,-3 days (June 8),9.61041379999999,90.38958620000001,3.9908526541364933,96160.90934271505,3837.6402027455306
2019,Cluster 6,-3 days (June 8),9.61041379999999,90.38958620000001,1.6650191233950642,53205.79589213908,885.8866763586612
2020,Cluster 1,-3 days (June 8),4.7325017,95.2674983,15.488618870836863,2908.339071656367,450.46155428048974
2020,Cluster 2,-3 days (June 8),4.7325017,95.2674983,8.83684970203546,137455.10838695487,12146.70133592514
